category	source_file	line	code_span
directory-reference	docs/issues/closed/1717-1525-05-migrate-sqlite-and-mysql-to-sqlx.md	302	packages/tracker-core/src/databases/sqlx/
directory-reference	docs/issues/closed/1717-1525-05-migrate-sqlite-and-mysql-to-sqlx.md	308	packages/tracker-core/src/databases/sqlx/
historical-closed-doc	docs/issues/closed/1717-1525-05-migrate-sqlite-and-mysql-to-sqlx.md	330	packages/tracker-core/src/bin/persistence_benchmark_runner.rs
directory-reference	docs/issues/closed/1717-1525-05-migrate-sqlite-and-mysql-to-sqlx.md	331	packages/tracker-core/src/bin/persistence_benchmark/
historical-closed-doc	docs/issues/closed/1717-1525-05-migrate-sqlite-and-mysql-to-sqlx.md	333	docs/issues/1710-1525-03-persistence-benchmarking.md
directory-reference	docs/issues/closed/1717-1525-05-migrate-sqlite-and-mysql-to-sqlx.md	379	packages/tracker-core/src/databases/sqlx/
historical-closed-doc	docs/issues/closed/1717-1525-05-migrate-sqlite-and-mysql-to-sqlx.md	419	docs/issues/1713-1525-04-split-persistence-traits.md
historical-closed-doc	docs/issues/closed/1717-1525-05-migrate-sqlite-and-mysql-to-sqlx.md	421	docs/issues/1525-03-persistence-benchmarking.md
historical-closed-doc	docs/issues/closed/1717-1525-05-migrate-sqlite-and-mysql-to-sqlx.md	428	packages/tracker-core/src/databases/driver/sqlite.rs
historical-closed-doc	docs/issues/closed/1717-1525-05-migrate-sqlite-and-mysql-to-sqlx.md	429	packages/tracker-core/src/databases/driver/mysql.rs
historical-closed-doc	docs/issues/closed/1719-1525-06-introduce-schema-migrations.md	194	docs/issues/1717-1525-05-migrate-sqlite-and-mysql-to-sqlx.md
historical-closed-doc	docs/issues/closed/1719-1525-06-introduce-schema-migrations.md	259	packages/axum-rest-tracker-api-server/tests/server/mod.rs::force_database_error
historical-closed-doc	docs/issues/closed/1719-1525-06-introduce-schema-migrations.md	296	packages/tracker-core/src/databases/driver/mod.rs::database_setup
historical-closed-doc	docs/issues/closed/1719-1525-06-introduce-schema-migrations.md	380	docs/upgrade-to-v4.md
historical-closed-doc	docs/issues/closed/1719-1525-06-introduce-schema-migrations.md	757	docs/issues/1525-05-migrate-sqlite-and-mysql-to-sqlx.md
historical-closed-doc	docs/issues/closed/1719-1525-06-introduce-schema-migrations.md	759	docs/issues/1525-03-persistence-benchmarking.md
historical-closed-doc	docs/issues/closed/1719-1525-06-introduce-schema-migrations.md	762	docs/issues/1525-overhaul-persistence.md
historical-closed-doc	docs/issues/closed/1719-1525-06-introduce-schema-migrations.md	766	packages/tracker-core/src/databases/driver/sqlite.rs
historical-closed-doc	docs/issues/closed/1719-1525-06-introduce-schema-migrations.md	767	packages/tracker-core/src/databases/driver/mysql.rs
historical-closed-doc	docs/issues/closed/1721-1525-07-align-rust-and-db-types.md	263	docs/issues/1719-1525-06-introduce-schema-migrations.md
historical-closed-doc	docs/issues/closed/1721-1525-07-align-rust-and-db-types.md	265	docs/issues/1723-1525-08-add-postgresql-driver.md
historical-closed-doc	docs/issues/closed/1721-1525-07-align-rust-and-db-types.md	267	docs/issues/1525-03-persistence-benchmarking.md
historical-closed-doc	docs/issues/closed/1721-1525-07-align-rust-and-db-types.md	269	docs/issues/1525-overhaul-persistence.md
historical-closed-doc	docs/issues/closed/1723-1525-08-add-postgresql-driver.md	248	packages/tracker-core/src/databases/driver/postgres.rs
historical-closed-doc	docs/issues/closed/1723-1525-08-add-postgresql-driver.md	508	packages/tracker-core/src/databases/driver/postgres.rs
historical-closed-doc	docs/issues/closed/1723-1525-08-add-postgresql-driver.md	581	contrib/dev-tools/qa/run-db-compatibility-matrix.sh
historical-closed-doc	docs/issues/closed/1723-1525-08-add-postgresql-driver.md	658	contrib/dev-tools/bench/compose.bench-postgresql.yaml
historical-closed-doc	docs/issues/closed/1723-1525-08-add-postgresql-driver.md	664	docs/benchmarks/baseline.md
historical-closed-doc	docs/issues/closed/1723-1525-08-add-postgresql-driver.md	664	docs/benchmarks/baseline.json
historical-closed-doc	docs/issues/closed/1723-1525-08-add-postgresql-driver.md	670	docs/benchmarks/baseline.md
historical-closed-doc	docs/issues/closed/1723-1525-08-add-postgresql-driver.md	790	packages/tracker-core/src/databases/driver/postgres.rs
historical-closed-doc	docs/issues/closed/1723-1525-08-add-postgresql-driver.md	804	docs/benchmarks/baseline.md
historical-closed-doc	docs/issues/closed/1723-1525-08-add-postgresql-driver.md	995	docs/issues/1525-overhaul-persistence.md
historical-closed-doc	docs/issues/closed/1723-1525-08-add-postgresql-driver.md	996	docs/issues/1525-01-persistence-test-coverage.md
historical-closed-doc	docs/issues/closed/1723-1525-08-add-postgresql-driver.md	998	docs/issues/1706-1525-02-qbittorrent-e2e.md
historical-closed-doc	docs/issues/closed/1723-1525-08-add-postgresql-driver.md	1000	docs/issues/1525-03-persistence-benchmarking.md
historical-closed-doc	docs/issues/closed/1723-1525-08-add-postgresql-driver.md	1002	docs/issues/1719-1525-06-introduce-schema-migrations.md
historical-closed-doc	docs/issues/closed/1723-1525-08-add-postgresql-driver.md	1004	docs/issues/1721-1525-07-align-rust-and-db-types.md
historical-closed-doc	docs/issues/closed/1723-1525-08-add-postgresql-driver.md	1011	packages/tracker-core/src/databases/driver/postgres.rs
historical-closed-doc	docs/issues/closed/1723-1525-08-add-postgresql-driver.md	1016	contrib/dev-tools/qa/run-db-compatibility-matrix.sh
historical-closed-doc	docs/issues/closed/1723-1525-08-add-postgresql-driver.md	1017	contrib/dev-tools/qa/run-qbittorrent-e2e.py
historical-closed-doc	docs/issues/closed/1723-1525-08-add-postgresql-driver.md	1018	contrib/dev-tools/qa/run-before-after-db-benchmark.py
historical-closed-doc	docs/issues/closed/1726-1840-workflow-performance-sccache/ISSUE.md	85	docs/issues/1726-1840-workflow-performance-sccache/compile-hotspot-analysis.md
historical-closed-doc	docs/issues/closed/1732-replace-aquatic-udp-protocol/ISSUE.md	43	packages/aquatic-udp-protocol
historical-closed-doc	docs/issues/closed/1732-replace-aquatic-udp-protocol/ISSUE.md	74	packages/aquatic-peer-id
historical-closed-doc	docs/issues/closed/1732-replace-aquatic-udp-protocol/ISSUE.md	74	packages/aquatic-udp-protocol
historical-closed-doc	docs/issues/closed/1732-replace-aquatic-udp-protocol/ISSUE.md	104	packages/udp-tracker-core
historical-closed-doc	docs/issues/closed/1732-replace-aquatic-udp-protocol/ISSUE.md	106	packages/http-tracker-core
historical-closed-doc	docs/issues/closed/1732-replace-aquatic-udp-protocol/ISSUE.md	108	packages/axum-http-tracker-server
historical-closed-doc	docs/issues/closed/1732-replace-aquatic-udp-protocol/ISSUE.md	109	packages/axum-rest-tracker-api-server
historical-closed-doc	docs/issues/closed/1732-replace-aquatic-udp-protocol/ISSUE.md	114	packages/udp-tracker-server
historical-closed-doc	docs/issues/closed/1732-replace-aquatic-udp-protocol/ISSUE.md	127	packages/aquatic-udp-protocol
historical-closed-doc	docs/issues/closed/1732-replace-aquatic-udp-protocol/ISSUE.md	132	packages/aquatic-udp-protocol
historical-closed-doc	docs/issues/closed/1732-replace-aquatic-udp-protocol/ISSUE.md	133	packages/aquatic-peer-id
historical-closed-doc	docs/issues/closed/1732-replace-aquatic-udp-protocol/ISSUE.md	167	packages/aquatic-udp-protocol/Cargo.toml
historical-closed-doc	docs/issues/closed/1732-replace-aquatic-udp-protocol/ISSUE.md	168	packages/aquatic-peer-id/Cargo.toml
historical-closed-doc	docs/issues/closed/1732-replace-aquatic-udp-protocol/ISSUE.md	173	src/peer.rs
directory-reference	docs/issues/closed/1732-replace-aquatic-udp-protocol/ISSUE.md	174	packages/bittorrent-primitives/
historical-closed-doc	docs/issues/closed/1732-replace-aquatic-udp-protocol/ISSUE.md	185	packages/aquatic-udp-protocol
historical-closed-doc	docs/issues/closed/1732-replace-aquatic-udp-protocol/ISSUE.md	260	packages/udp-tracker-core
